Experiment	CLAMPoints-dat	
Date	14.06.2016 18:06:47	
User	Danilo	
X (m)	8.394886E-8	
Y (m)	-3.323447E-8	
Tip Information	Tip  (  )	
Sample material		
CLAM Mode	0	
Pass Energy (eV)	50.000000	
Retarding Ratio	10.000000	
Focus Mode	1	
Focus (%)	0.600000	
Channeltron front (V)	200.000000	
Channeltron rear (V)	3600.000000	
Integration Time (ms)	100.000000
loops	1

[DATA]
Energy (eV)	Current (A)	CLAM ctr (cp int.time)	Bias (V)	Z (m)
63.5000E+0	-434.902E-9	63.0000E+0	-99.4000E+0	-100.000E-9
63.7500E+0	-433.340E-9	63.0000E+0	-99.4000E+0	-100.000E-9
63.7500E+0	-430.648E-9	53.0000E+0	-99.4000E+0	-100.000E-9
64.0000E+0	-429.476E-9	76.0000E+0	-99.4000E+0	-100.000E-9
64.0000E+0	-430.997E-9	56.0000E+0	-99.4000E+0	-100.000E-9
64.2500E+0	-428.942E-9	59.0000E+0	-99.4000E+0	-100.000E-9
64.2500E+0	-429.235E-9	82.0000E+0	-99.4000E+0	-100.000E-9
64.5000E+0	-431.671E-9	55.0000E+0	-99.4000E+0	-100.000E-9
64.5000E+0	-432.210E-9	61.0000E+0	-99.4000E+0	-100.000E-9
64.7500E+0	-429.285E-9	58.0000E+0	-99.4000E+0	-100.000E-9
64.7500E+0	-429.015E-9	60.0000E+0	-99.4000E+0	-100.000E-9
65.0000E+0	-429.608E-9	46.0000E+0	-99.4000E+0	-100.000E-9
65.0000E+0	-429.450E-9	71.0000E+0	-99.4000E+0	-100.000E-9
65.2500E+0	-428.713E-9	70.0000E+0	-99.4000E+0	-100.000E-9
65.2500E+0	-430.446E-9	64.0000E+0	-99.4000E+0	-100.000E-9
65.5000E+0	-429.698E-9	48.0000E+0	-99.4000E+0	-100.000E-9
65.5000E+0	-429.438E-9	62.0000E+0	-99.4000E+0	-100.000E-9
65.7500E+0	-427.720E-9	66.0000E+0	-99.4000E+0	-100.000E-9
65.7500E+0	-427.263E-9	72.0000E+0	-99.4000E+0	-100.000E-9
66.0000E+0	-427.093E-9	56.0000E+0	-99.4000E+0	-100.000E-9
66.0000E+0	-429.216E-9	50.0000E+0	-99.4000E+0	-100.000E-9
66.2500E+0	-427.136E-9	55.0000E+0	-99.4000E+0	-100.000E-9
66.2500E+0	-427.126E-9	62.0000E+0	-99.4000E+0	-100.000E-9
66.5000E+0	-427.880E-9	51.0000E+0	-99.4000E+0	-100.000E-9
