Experiment	LongTerm Data	
Date	05.01.2016 16:35:53	
User		
Base Timestamp	2016-01-05 15:36:27.26	

[DATA]
Rel. Time (s)	Z (m)
874.000E+0	27.7663E-9
875.000E+0	27.7731E-9
876.000E+0	27.7123E-9
877.000E+0	27.7612E-9
878.000E+0	27.7573E-9
879.004E+0	27.7499E-9
880.000E+0	27.7077E-9
881.000E+0	27.7492E-9
882.000E+0	27.7324E-9
883.000E+0	27.7339E-9
884.000E+0	27.7251E-9
885.000E+0	27.7213E-9
886.000E+0	27.7139E-9
887.000E+0	27.7150E-9
888.000E+0	27.7012E-9
889.000E+0	27.6688E-9
890.000E+0	27.6607E-9
891.000E+0	27.6804E-9
892.000E+0	27.7002E-9
893.000E+0	27.6759E-9
894.000E+0	27.6160E-9
895.000E+0	27.6568E-9
896.000E+0	27.6727E-9
897.000E+0	27.6623E-9
898.000E+0	27.6185E-9
