Experiment	CLAM-python-txt
Date	28/01/16 11:49
User	Danilo A. Zanin
Clam Mode	CAE
Pass Energy (eV)	100.0
Focus Mode	3
Focus Value	0.6
Integration Time (ms)	100.0
Loops	2
Channeltron Rear (V)	3600.0
Channeltron Front (V)	200.0
Comment	Header modified manually to use functions of nanonis

[DATA]
Energy [eV]	Counts	L1 [V]	L2 [V]	Ch_rear [V]	Ch_front [V]	H+ [V]	H- [V]	Retarder [V]
77.75	1	205.1045	205.1045	3722.25	122.25	41.1179245283	3.3820754717	22.25
78.0	0	205.764	205.764	3722.0	122.0	40.8679245283	3.1320754717	22.0
78.25	0	206.4235	206.4235	3721.75	121.75	40.6179245283	2.8820754717	21.75
78.5	0	207.083	207.083	3721.5	121.5	40.3679245283	2.6320754717	21.5
78.75	0	207.7425	207.7425	3721.25	121.25	40.1179245283	2.3820754717	21.25
79.0	0	208.402	208.402	3721.0	121.0	39.8679245283	2.1320754717	21.0
79.25	0	209.0615	209.0615	3720.75	120.75	39.6179245283	1.8820754717	20.75
79.5	0	209.721	209.721	3720.5	120.5	39.3679245283	1.6320754717	20.5
79.75	1	210.3805	210.3805	3720.25	120.25	39.1179245283	1.3820754717	20.25
80.0	0	211.04	211.04	3720.0	120.0	38.8679245283	1.1320754717	20.0
80.25	0	211.6995	211.6995	3719.75	119.75	38.6179245283	0.882075471698	19.75
80.5	0	212.359	212.359	3719.5	119.5	38.3679245283	0.632075471698	19.5
80.75	0	213.0185	213.0185	3719.25	119.25	38.1179245283	0.382075471698	19.25
81.0	1	213.678	213.678	3719.0	119.0	37.8679245283	0.132075471698	19.0
81.25	1	214.3375	214.3375	3718.75	118.75	37.6179245283	-0.117924528302	18.75
81.5	0	214.997	214.997	3718.5	118.5	37.3679245283	-0.367924528302	18.5
81.75	0	215.6565	215.6565	3718.25	118.25	37.1179245283	-0.617924528302	18.25
82.0	0	216.316	216.316	3718.0	118.0	36.8679245283	-0.867924528302	18.0
82.25	0	216.9755	216.9755	3717.75	117.75	36.6179245283	-1.1179245283	17.75
82.5	1	217.635	217.635	3717.5	117.5	36.3679245283	-1.3679245283	17.5
82.75	0	218.2945	218.2945	3717.25	117.25	36.1179245283	-1.6179245283	17.25
83.0	0	218.954	218.954	3717.0	117.0	35.8679245283	-1.8679245283	17.0
83.25	0	219.6135	219.6135	3716.75	116.75	35.6179245283	-2.1179245283	16.75
83.5	0	220.273	220.273	3716.5	116.5	35.3679245283	-2.3679245283	16.5
83.75	0	220.9325	220.9325	3716.25	116.25	35.1179245283	-2.6179245283	16.25
84.0	0	221.592	221.592	3716.0	116.0	34.8679245283	-2.8679245283	16.0
84.25	0	222.2515	222.2515	3715.75	115.75	34.6179245283	-3.1179245283	15.75
84.5	0	222.911	222.911	3715.5	115.5	34.3679245283	-3.3679245283	15.5
84.75	0	223.5705	223.5705	3715.25	115.25	34.1179245283	-3.6179245283	15.25
85.0	0	224.23	224.23	3715.0	115.0	33.8679245283	-3.8679245283	15.0
85.25	1	224.8895	224.8895	3714.75	114.75	33.6179245283	-4.1179245283	14.75
85.5	2	225.549	225.549	3714.5	114.5	33.3679245283	-4.3679245283	14.5
85.75	0	226.2085	226.2085	3714.25	114.25	33.1179245283	-4.6179245283	14.25
86.0	1	226.868	226.868	3714.0	114.0	32.8679245283	-4.8679245283	14.0
86.25	0	227.5275	227.5275	3713.75	113.75	32.6179245283	-5.1179245283	13.75
86.5	0	228.187	228.187	3713.5	113.5	32.3679245283	-5.3679245283	13.5
86.75	0	228.8465	228.8465	3713.25	113.25	32.1179245283	-5.6179245283	13.25
87.0	0	229.506	229.506	3713.0	113.0	31.8679245283	-5.8679245283	13.0
87.25	0	230.1655	230.1655	3712.75	112.75	31.6179245283	-6.1179245283	12.75
87.5	0	230.825	230.825	3712.5	112.5	31.3679245283	-6.3679245283	12.5
87.75	0	231.4845	231.4845	3712.25	112.25	31.1179245283	-6.6179245283	12.25
88.0	0	232.144	232.144	3712.0	112.0	30.8679245283	-6.8679245283	12.0
88.25	1	232.8035	232.8035	3711.75	111.75	30.6179245283	-7.1179245283	11.75
88.5	1	233.463	233.463	3711.5	111.5	30.3679245283	-7.3679245283	11.5
88.75	0	234.1225	234.1225	3711.25	111.25	30.1179245283	-7.6179245283	11.25
89.0	0	234.782	234.782	3711.0	111.0	29.8679245283	-7.8679245283	11.0
89.25	0	235.4415	235.4415	3710.75	110.75	29.6179245283	-8.1179245283	10.75
89.5	0	236.101	236.101	3710.5	110.5	29.3679245283	-8.3679245283	10.5
89.75	0	236.7605	236.7605	3710.25	110.25	29.1179245283	-8.6179245283	10.25
90.0	0	237.42	237.42	3710.0	110.0	28.8679245283	-8.8679245283	10.0
90.25	0	238.0795	238.0795	3709.75	109.75	28.6179245283	-9.1179245283	9.75
90.5	1	238.739	238.739	3709.5	109.5	28.3679245283	-9.3679245283	9.5
90.75	0	239.3985	239.3985	3709.25	109.25	28.1179245283	-9.6179245283	9.25
91.0	3	240.058	240.058	3709.0	109.0	27.8679245283	-9.8679245283	9.0
91.25	0	240.7175	240.7175	3708.75	108.75	27.6179245283	-10.1179245283	8.75
91.5	0	241.377	241.377	3708.5	108.5	27.3679245283	-10.3679245283	8.5
91.75	2	242.0365	242.0365	3708.25	108.25	27.1179245283	-10.6179245283	8.25
92.0	0	242.696	242.696	3708.0	108.0	26.8679245283	-10.8679245283	8.0
92.25	0	243.3555	243.3555	3707.75	107.75	26.6179245283	-11.1179245283	7.75
92.5	0	244.015	244.015	3707.5	107.5	26.3679245283	-11.3679245283	7.5
92.75	0	244.6745	244.6745	3707.25	107.25	26.1179245283	-11.6179245283	7.25
93.0	1	245.334	245.334	3707.0	107.0	25.8679245283	-11.8679245283	7.0
93.25	0	245.9935	245.9935	3706.75	106.75	25.6179245283	-12.1179245283	6.75
93.5	0	246.653	246.653	3706.5	106.5	25.3679245283	-12.3679245283	6.5
93.75	0	247.3125	247.3125	3706.25	106.25	25.1179245283	-12.6179245283	6.25
94.0	0	247.972	247.972	3706.0	106.0	24.8679245283	-12.8679245283	6.0
94.25	0	248.6315	248.6315	3705.75	105.75	24.6179245283	-13.1179245283	5.75
94.5	2	249.291	249.291	3705.5	105.5	24.3679245283	-13.3679245283	5.5
94.75	0	249.9505	249.9505	3705.25	105.25	24.1179245283	-13.6179245283	5.25
95.0	0	250.61	250.61	3705.0	105.0	23.8679245283	-13.8679245283	5.0
95.25	2	251.2695	251.2695	3704.75	104.75	23.6179245283	-14.1179245283	4.75
95.5	0	251.929	251.929	3704.5	104.5	23.3679245283	-14.3679245283	4.5
95.75	0	252.5885	252.5885	3704.25	104.25	23.1179245283	-14.6179245283	4.25
96.0	0	253.248	253.248	3704.0	104.0	22.8679245283	-14.8679245283	4.0
